PLAYER,MARKET,LINE,ODDS,IMPLIED_PROB,HOME_TEAM,AWAY_TEAM,GAME
Jakob Poeltl,AST,1.5,-188,0.6527777777777778,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Sandro Mamukelashvili,AST,1.5,106,0.4854368932038835,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Andre Drummond,AST,1.5,119,0.45662100456621,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Gradey Dick,AST,0.5,-131,0.5670995670995671,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Tyrese Maxey,PTS,30.5,-108,0.5192307692307693,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Brandon Ingram,PTS,19.5,-121,0.5475113122171946,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
R.J. Barrett,PTS,18.5,-112,0.5283018867924528,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Scottie Barnes,PTS,18.5,-108,0.5192307692307693,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Immanuel Quickley,PTS,16.5,-101,0.5024875621890548,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jakob Poeltl,PTS,12.5,104,0.49019607843137253,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Andre Drummond,PTS,11.5,-120,0.5454545454545454,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Sandro Mamukelashvili,PTS,8.5,102,0.49504950495049505,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Gradey Dick,PTS,8.5,104,0.49019607843137253,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jamal Shead,PTS,6.5,-112,0.5283018867924528,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
