PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Cole Anthony,MIL,Milwaukee Bucks,2025-11-17,4.666666666666667,4.4,11.111111111111109,6.666666666666666,29.76190476190476,26.904761904761905,29.483925549915398,26.737974377568285
Joe Ingles,MIN,Minnesota Timberwolves,2025-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Rollins,MIL,Milwaukee Bucks,2025-11-17,18.0,18.4,38.888888888888886,46.666666666666664,57.32323232323233,59.624708624708624,58.664740713422255,60.61453652353134
Kris Dunn,LAC,LA Clippers,2025-11-17,7.333333333333333,7.2,33.333333333333336,25.0,43.75,42.25,53.49508520063375,49.39020634456996
John Collins,LAC,LA Clippers,2025-11-17,12.0,9.4,8.333333333333334,8.333333333333332,46.7948717948718,37.77389277389277,54.78374301903713,43.77933672051319
Kyle Kuzma,MIL,Milwaukee Bucks,2025-11-17,13.333333333333334,14.8,27.777777777777775,23.333333333333332,36.029411764705884,39.55882352941177,39.89050776132242,43.60753319847045
Kobe Sanders,LAC,LA Clippers,2025-11-17,10.333333333333334,10.0,36.507936507936506,38.095238095238095,50.17316017316017,53.701298701298704,55.34978510904142,57.58376740320964
Elijah Harkless,UTAH,Utah Jazz,2025-11-18,1.6666666666666667,2.2,0.0,20.0,0.0,35.0,56.81818181818182,70.84766584766585
Egor Demin,BKN,Brooklyn Nets,2025-11-18,8.333333333333334,10.2,36.82539682539682,42.095238095238095,45.925925925925924,56.949494949494955,49.58656330749354,59.88661811917626
Ausar Thompson,DET,Detroit Pistons,2025-11-18,11.333333333333334,12.2,33.333333333333336,20.0,58.333333333333336,58.095238095238095,57.27915194346289,55.99867271835309
Kyle Anderson,UTAH,Utah Jazz,2025-11-18,6.0,6.5,0.0,0.0,44.285714285714285,45.714285714285715,48.169312106413116,49.788186265602185
Gabe Vincent,LAL,Los Angeles Lakers,2025-11-18,6.0,6.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0,100.0
Jaren Jackson Jr.,MEM,Memphis Grizzlies,2025-11-18,20.666666666666668,19.6,28.968253968253965,35.95238095238095,41.811594202898554,45.890527950310556,48.242892493074045,50.34223239995554
Wendell Carter Jr.,ORL,Orlando Magic,2025-11-18,13.0,14.2,27.777777777777775,33.33333333333333,61.03896103896104,67.04004329004329,76.76167888644638,77.05856012689887
Mouhamed Gueye,ATL,Atlanta Hawks,2025-11-18,6.333333333333333,4.6,6.666666666666667,4.0,33.14814814814815,44.88888888888889,33.14814814814815,44.88888888888889
Austin Reaves,LAL,Los Angeles Lakers,2025-11-18,27.333333333333332,23.8,37.96296296296296,26.77777777777778,66.1096256684492,55.74420677361853,73.14894005465551,63.75815644256933
Kelly Olynyk,SA,San Antonio Spurs,2025-11-18,5.0,4.2,41.666666666666664,25.0,36.111111111111114,61.666666666666664,38.144329896907216,62.886597938144334
Franz Wagner,ORL,Orlando Magic,2025-11-18,24.0,23.8,23.61111111111111,29.880952380952387,45.47152194211018,48.28291316526611,53.55069855506491,57.15546040476456
Tyus Jones,ORL,Orlando Magic,2025-11-18,2.6666666666666665,1.6,33.333333333333336,20.0,44.444444444444436,26.666666666666664,44.444444444444436,26.666666666666664
